window_id,link_type,source_id,target_id,source_domain,target_domain,start_index,end_index_exclusive,start_time_utc,end_time_utc,duration_seconds,sample_count,mean_range_km,min_range_km,max_range_km,transmission_rate_mbps,generation_config_sha256,max_elevation_deg,mean_elevation_deg,azimuth_at_start_deg,azimuth_at_end_deg,boundary_source
SGL-000015,SGL,cs04,gs03,communication,ground,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,39763.320312500,39753.359375000,39773.421875000,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,17.952211380,17.859674454,118.117797852,118.108512878,skyfield_find_events
SGL-000016,SGL,cs04,gs04,communication,ground,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,38868.531250000,38861.062500000,38876.300781250,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,27.175127029,27.105016708,113.432746887,113.424285889,skyfield_find_events
SGL-000017,SGL,cs05,gs01,communication,ground,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,38992.660156250,38983.183593750,39002.292968750,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,25.864519119,25.770517349,123.410057068,123.399147034,skyfield_find_events
SGL-000018,SGL,cs05,gs02,communication,ground,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,38655.394531250,38647.640625000,38663.343750000,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,29.543348312,29.467491150,116.514396667,116.504371643,skyfield_find_events
SGL-000019,SGL,ns01,gs01,navigation,ground,1502,2419,2025-01-01T12:30:33.715757Z,2025-01-01T20:09:06.713135Z,27512.997378111,917,23194.847656250,21755.980468750,26065.634765625,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,72.034812927,45.844291687,236.565597534,144.707214355,skyfield_find_events
SGL-000020,SGL,ns01,gs02,navigation,ground,1459,2458,2025-01-01T12:09:25.475040Z,2025-01-01T20:28:31.603981Z,29946.128941059,999,23359.568359375,22134.398437500,26068.171875000,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,61.243877411,42.075679779,232.987762451,144.071136475,skyfield_find_events
SGL-000021,SGL,ns01,gs03,navigation,ground,1441,2298,2025-01-01T12:00:17.645905Z,2025-01-01T19:08:59.087079Z,25721.441174030,857,23155.626953125,21537.488281250,26064.113281250,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,82.332229614,47.682067871,204.170257568,108.285881042,skyfield_find_events
SGL-000022,SGL,ns01,gs04,navigation,ground,1377,2356,2025-01-01T11:28:18.469431Z,2025-01-01T19:37:57.533212Z,29379.063781023,979,23370.949218750,21860.759765625,26064.572265625,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,67.481170654,42.437484741,207.387878418,113.829360962,skyfield_find_events
SGL-000023,SGL,ns02,gs01,navigation,ground,1097,1939,2025-01-01T09:08:16.054898Z,2025-01-01T16:09:03.272089Z,25247.217190981,842,23210.138671875,21495.062500000,26081.001953125,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,86.761138916,47.232845306,193.944702148,91.734146118,skyfield_find_events
SGL-000024,SGL,ns02,gs02,navigation,ground,1046,1925,2025-01-01T08:42:59.791909Z,2025-01-01T16:02:23.127730Z,26363.335820913,879,23308.285156250,21514.535156250,26074.175781250,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,83.296020508,45.365959167,193.855453491,84.719573975,skyfield_find_events
SGL-000025,SGL,ns02,gs03,navigation,ground,54,414,2025-01-01T00:26:50.127109Z,2025-01-01T03:26:56.827414Z,10806.700304985,360,25157.839843750,24671.923828125,26069.296875000,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,24.229917526,19.163961411,325.092529297,260.851226807,skyfield_find_events
SGL-000026,SGL,ns02,gs03,navigation,ground,1120,1801,2025-01-01T09:19:58.987355Z,2025-01-01T15:00:10.238261Z,20411.250905991,681,23464.695312500,21917.916015625,26076.400390625,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,65.927444458,41.047264099,165.018463135,59.186729431,skyfield_find_events
SGL-000027,SGL,ns02,gs04,navigation,ground,170,394,2025-01-01T01:24:59.165718Z,2025-01-01T03:16:56.260887Z,6717.095168829,224,25753.431640625,25587.140625000,26074.226562500,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,14.757113457,13.128293037,315.189331055,272.631286621,skyfield_find_events
SGL-000028,SGL,ns02,gs04,navigation,ground,1033,1762,2025-01-01T08:36:18.393885Z,2025-01-01T14:40:32.502786Z,21854.108901024,729,23397.626953125,21729.347656250,26073.972656250,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,71.551284790,42.577083588,174.213073730,51.663650513,skyfield_find_events
SGL-000029,SGL,ns03,gs01,navigation,ground,0,173,2025-01-01T00:00:00.000000Z,2025-01-01T01:26:30.099483Z,5190.099483013,173,25015.595703125,24242.904296875,26063.400390625,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,29.071504593,20.752017975,276.487548828,244.168670654,skyfield_find_events
SGL-000030,SGL,ns03,gs01,navigation,ground,804,1436,2025-01-01T06:41:46.416313Z,2025-01-01T11:57:57.973961Z,18971.557648182,632,23702.244140625,22315.128906250,26062.003906250,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,56.592098236,36.890140533,154.955535889,48.635707855,skyfield_find_events
SGL-000031,SGL,ns03,gs02,navigation,ground,0,218,2025-01-01T00:00:00.000000Z,2025-01-01T01:48:35.489035Z,6515.489034891,218,24969.091796875,24274.570312500,26074.148437500,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,28.699018478,21.243429184,283.417968750,239.319015503,skyfield_find_events
SGL-000032,SGL,ns03,gs02,navigation,ground,752,1391,2025-01-01T06:15:38.335218Z,2025-01-01T11:35:17.616544Z,19179.281326056,639,23775.298828125,22405.199218750,26061.482421875,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,54.731151581,35.752410889,157.904937744,43.051837921,skyfield_find_events
SGL-000033,SGL,ns03,gs03,navigation,ground,0,254,2025-01-01T00:00:00.000000Z,2025-01-01T02:06:30.187813Z,7590.187813044,254,24027.861328125,22534.580078125,26068.402343750,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,53.146385193,32.789440155,249.119461060,207.413726807,skyfield_find_events
SGL-000034,SGL,ns03,gs03,navigation,ground,918,1368,2025-01-01T07:38:55.995779Z,2025-01-01T11:23:38.060853Z,13482.065073967,450,24669.052734375,23910.414062500,26068.974609375,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,32.568950653,24.165328979,116.745094299,37.378356934,skyfield_find_events
SGL-000035,SGL,ns03,gs03,navigation,ground,2800,2881,2025-01-01T23:19:42.119707Z,2025-01-02T00:00:00.000000Z,2417.880292892,81,25421.511718750,24850.492187500,26050.419921875,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,22.195970535,16.326965332,322.452484131,315.425415039,skyfield_find_events
SGL-000036,SGL,ns03,gs04,navigation,ground,0,330,2025-01-01T00:00:00.000000Z,2025-01-01T02:44:30.232054Z,9870.232053995,330,23904.951171875,22606.001953125,26064.330078125,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,51.823738098,34.391826630,276.951568604,204.686447144,skyfield_find_events
SGL-000037,SGL,ns03,gs04,navigation,ground,843,1306,2025-01-01T07:01:04.497861Z,2025-01-01T10:52:32.830657Z,13888.332796097,463,24750.277343750,24028.443359375,26059.091796875,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,31.019662857,23.140586853,125.799652100,38.572387695,skyfield_find_events
SGL-000038,SGL,ns04,gs01,navigation,ground,657,1003,2025-01-01T05:28:09.297041Z,2025-01-01T08:21:14.197220Z,10384.900179148,346,25214.722656250,24775.031250000,26059.833984375,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,22.733400345,18.220674515,99.658493042,36.561244965,skyfield_find_events
SGL-000039,SGL,ns04,gs01,navigation,ground,2481,2881,2025-01-01T20:40:11.389483Z,2025-01-02T00:00:00.000000Z,11988.610517025,400,24072.164062500,23335.617187500,26047.234375000,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,40.496353149,31.515014648,319.563842773,246.280761719,skyfield_find_events
SGL-000040,SGL,ns04,gs02,navigation,ground,0,42,2025-01-01T00:00:00.000000Z,2025-01-01T00:20:40.993726Z,1240.993726015,42,25711.398437500,25361.513671875,26056.884765625,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,16.896528244,13.424207687,192.767807007,188.922485352,skyfield_find_events
SGL-000041,SGL,ns04,gs02,navigation,ground,658,935,2025-01-01T05:28:37.581055Z,2025-01-01T07:47:03.738175Z,8306.157119989,277,25543.169921875,25284.076171875,26053.503906250,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,17.385360718,14.820580482,94.685592651,42.093425751,skyfield_find_events
SGL-000042,SGL,ns04,gs02,navigation,ground,2519,2881,2025-01-01T20:59:16.177319Z,2025-01-02T00:00:00.000000Z,10843.822680950,362,24102.126953125,23374.925781250,26051.699218750,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,39.964889526,31.196310043,320.860656738,252.832672119,skyfield_find_events
SGL-000043,SGL,ns04,gs03,navigation,ground,2367,2881,2025-01-01T19:43:04.369085Z,2025-01-02T00:00:00.000000Z,15415.630914927,514,23132.935546875,21938.847656250,26029.376953125,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,66.365776062,46.150703430,300.445556641,208.460144043,skyfield_find_events
SGL-000044,SGL,ns04,gs04,navigation,ground,0,44,2025-01-01T00:00:00.000000Z,2025-01-01T00:21:46.619843Z,1306.619843006,44,25641.406250000,25231.035156250,26051.304687500,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,18.203496933,14.103496552,169.186523438,168.338088989,skyfield_find_events
SGL-000045,SGL,ns04,gs04,navigation,ground,2438,2881,2025-01-01T20:18:39.172754Z,2025-01-02T00:00:00.000000Z,13280.827245951,443,23257.857421875,22013.255859375,26036.785156250,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,64.335342407,44.389301300,313.015625000,228.438156128,skyfield_find_events
SGL-000046,SGL,ns05,gs01,navigation,ground,2023,2772,2025-01-01T16:51:18.121828Z,2025-01-01T23:05:44.542436Z,22466.420607805,749,23316.871093750,21645.220703125,26055.355468750,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,77.184715271,44.867328644,292.736022949,182.889938354,skyfield_find_events
SGL-000047,SGL,ns05,gs02,navigation,ground,2045,2825,2025-01-01T17:02:07.014064Z,2025-01-01T23:32:21.418143Z,23414.404078960,780,23320.416015625,21581.347656250,26049.638671875,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,81.240585327,45.324031830,298.550872803,178.457672119,skyfield_find_events
SGL-000048,SGL,ns05,gs03,navigation,ground,1870,2729,2025-01-01T15:34:39.218590Z,2025-01-01T22:44:12.220779Z,25773.002188921,859,23161.238281250,21564.275390625,26059.853515625,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,82.030845642,47.683685303,251.144546509,155.491485596,skyfield_find_events
SGL-000049,SGL,ns05,gs04,navigation,ground,1862,2807,2025-01-01T15:30:33.755145Z,2025-01-01T23:23:21.262433Z,28367.507287979,945,23363.193359375,21717.539062500,26049.859375000,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,73.720046997,43.475009918,258.178924561,158.572097778,skyfield_find_events
SGL-000050,SGL,os01,gs01,observation,ground,1004,1022,2025-01-01T08:21:58.236370Z,2025-01-01T08:30:35.099509Z,516.863138914,18,1543.304565430,1120.820312500,2147.330810547,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,35.242767334,22.951879501,135.020538330,5.354344368,skyfield_find_events
